"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. BANDUNG BARAT",34,36,42,33,24,68,94,106,140,204,6,1.69,1.27,1.31,1.33,0.76,0.9,2,4.19,1.38
"KAB. BANDUNG",56,60,66,47,45,164,150,161,182,625,15,1.04,0.71,0.99,1.2,0.89,0.69,0.92,1.12,1.67
"KAB. BEKASI",106,122,131,88,48,177,576,1109,1081,2589,51,1.41,1.42,0.72,1.82,1.25,1.21,1.49,1.29,1.21
"KAB. BOGOR",136,131,172,215,276,394,509,1200,1457,1227,16,1.5,1.37,0.93,1.33,1.27,0.9,1.34,1.2,0.94
"KAB. CIAMIS",4,4,5,8,10,3,7,54,51,84,5,1.34,1.34,1.34,1.34,1.34,1.34,1.45,1.75,0.8
"KAB. CIANJUR",7,10,14,15,21,26,32,29,20,82,2,1.37,1.35,1.34,1.34,1.34,1.3,1.46,1.34,1.96
"KAB. CIREBON",8,6,11,16,17,46,52,387,226,793,58,1.34,1.34,1.34,1.34,1.65,0.51,1.17,0.47,0.99
"KAB. GARUT",12,12,9,12,9,37,37,81,58,231,13,1.34,1.34,1.34,1.34,1.34,1.32,1.1,2.2,0.41
"KAB. INDRAMAYU",7,8,14,16,27,9,10,40,18,140,7,1.1,1.21,1.56,0.97,1.12,1.32,1.34,0.49,1.41
"KAB. KARAWANG",0,0,0,0,14,46,103,303,362,779,37,1.34,1.34,0.97,1.29,0.87,1.13,1.44,1.27,0.93
"KAB. KUNINGAN",3,3,11,10,9,17,40,190,495,300,7,1.34,1.34,1.14,1.32,1,0.98,1.18,2.33,0.33
"KAB. MAJALENGKA",1,0,3,4,1,21,29,29,60,134,8,1.34,1.34,1.34,1.34,1.34,0.74,1.68,1.6,0.44
"KAB. PANGANDARAN",1,1,2,6,14,10,18,1,3,68,0,0,0,1.36,1.34,1.63,1.69,1.94,1.3,1.31
"KAB. PURWAKARTA",18,19,17,8,10,61,72,24,47,234,7,1.25,1.08,1.33,1.34,1.34,1.46,0.9,6.62,0.67
"KAB. SUBANG",25,31,31,33,41,56,61,18,32,230,12,1.61,1.39,1.28,2.03,1.13,1.62,0.59,0.44,3.55
"KAB. SUKABUMI",20,22,22,33,28,14,19,126,171,265,4,1.1,1.21,1.33,1.59,1.2,1.01,1.37,1.81,0.95
"KAB. SUMEDANG",5,8,9,8,5,36,28,107,23,188,6,1.34,1.34,1.34,1.34,1.34,1.06,1.42,0.97,1.51
"KAB. TASIKMALAYA",1,1,1,0,1,29,29,16,26,51,2,0,0,1.34,1.34,1.34,1.14,1.76,1.27,1.32
"KOTA BANDUNG",175,179,218,168,120,373,356,478,573,1336,50,1.15,0.93,0.56,0.88,0.7,0.91,1.26,1.22,0.87
"KOTA BEKASI",369,385,298,347,447,1686,1821,1509,1457,3913,99,1.05,1.07,1.17,1.11,1.45,1.1,1.04,1.12,0.88
"KOTA BOGOR",81,84,83,107,107,205,264,566,610,1106,39,1.29,1.19,1.52,1.57,1.13,1.11,1.19,1.53,0.61
"KOTA CIMAHI",51,54,50,46,44,41,77,141,235,294,4,1.16,1.13,1.23,1.62,0.99,0.79,1.76,2.23,0.88
"KOTA CIREBON",2,2,6,4,19,18,53,122,95,203,17,1.35,1.34,1.34,1.34,1.95,0.98,1.38,0.81,1.52
"KOTA DEPOK",422,445,459,424,475,577,798,1556,1970,3092,107,1.22,1.18,0.86,1.04,1.11,1.18,1.29,0.92,1.18
"KOTA SUKABUMI",54,55,50,43,14,22,13,52,78,285,4,0.99,0.78,1.32,1.34,1.34,1,1.02,1.04,0.21
"KOTA TASIKMALAYA",17,17,18,8,3,26,31,11,21,55,3,1.28,1.31,1.34,1.34,1.34,1.31,1.25,1.34,1.72
