"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. BANDUNG",3079,6325,646,4662,3242,7870,1.69,1.27,1.31,1.33,0.76,0.9,2,4.19,1.38
"KAB. BANDUNG BARAT",2343,3424,583,2821,2449,4512,1.04,0.71,0.99,1.2,0.89,0.69,0.92,1.12,1.67
"KAB. BEKASI",2549,5215,1102,5420,4670,9813,1.41,1.42,0.72,1.82,1.25,1.21,1.49,1.29,1.21
"KAB. BOGOR",5138,8719,1478,7726,6992,13105,1.5,1.37,0.93,1.33,1.27,0.9,1.34,1.2,0.94
"KAB. CIAMIS",1469,2811,259,1204,1203,2371,1.34,1.34,1.34,1.34,1.34,1.34,1.45,1.75,0.8
"KAB. CIANJUR",1536,2980,433,2236,1884,3457,1.37,1.35,1.34,1.34,1.34,1.3,1.46,1.34,1.96
"KAB. CIREBON",3155,4889,782,3422,3841,6652,1.34,1.34,1.34,1.34,1.65,0.51,1.17,0.47,0.99
"KAB. GARUT",1283,2610,252,1700,1201,2578,1.34,1.34,1.34,1.34,1.34,1.32,1.1,2.2,0.41
"KAB. INDRAMAYU",1443,2572,447,1951,2248,3969,1.1,1.21,1.56,0.97,1.12,1.32,1.34,0.49,1.41
"KAB. KARAWANG",1452,3422,503,3378,2416,5849,1.34,1.34,0.97,1.29,0.87,1.13,1.44,1.27,0.93
"KAB. KUNINGAN",1457,3075,238,1333,1285,2911,1.34,1.34,1.14,1.32,1,0.98,1.18,2.33,0.33
"KAB. MAJALENGKA",1365,2862,274,1446,1379,3233,1.34,1.34,1.34,1.34,1.34,0.74,1.68,1.6,0.44
"KAB. PANGANDARAN",211,704,24,218,203,663,0,0,1.36,1.34,1.63,1.69,1.94,1.3,1.31
"KAB. PURWAKARTA",1368,2108,325,1674,1714,3167,1.25,1.08,1.33,1.34,1.34,1.46,0.9,6.62,0.67
"KAB. SUBANG",1020,2329,256,1431,1297,3331,1.61,1.39,1.28,2.03,1.13,1.62,0.59,0.44,3.55
"KAB. SUKABUMI",2066,4671,483,3135,2375,5688,1.1,1.21,1.33,1.59,1.2,1.01,1.37,1.81,0.95
"KAB. SUMEDANG",1311,2749,198,1321,1058,2493,1.34,1.34,1.34,1.34,1.34,1.06,1.42,0.97,1.51
"KAB. TASIKMALAYA",883,2090,160,1001,877,2077,0,0,1.34,1.34,1.34,1.14,1.76,1.27,1.32
"KOTA BANDUNG",5414,8566,739,4567,4017,8695,1.15,0.93,0.56,0.88,0.7,0.91,1.26,1.22,0.87
"KOTA BEKASI",4049,5217,704,3611,4060,6886,1.05,1.07,1.17,1.11,1.45,1.1,1.04,1.12,0.88
"KOTA BOGOR",2074,3203,401,2363,1843,3771,1.29,1.19,1.52,1.57,1.13,1.11,1.19,1.53,0.61
"KOTA CIMAHI",1690,2109,250,1306,1272,2242,1.16,1.13,1.23,1.62,0.99,0.79,1.76,2.23,0.88
"KOTA CIREBON",750,1086,113,682,618,1183,1.35,1.34,1.34,1.34,1.95,0.98,1.38,0.81,1.52
"KOTA DEPOK",4226,4772,832,3609,4159,6283,1.22,1.18,0.86,1.04,1.11,1.18,1.29,0.92,1.18
"KOTA SUKABUMI",455,1092,104,802,446,1315,0.99,0.78,1.32,1.34,1.34,1,1.02,1.04,0.21
"KOTA TASIKMALAYA",678,1232,98,544,552,1160,1.28,1.31,1.34,1.34,1.34,1.31,1.25,1.34,1.72
