"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Susanto_10Mei2020","Rt_Susanto_13Mei2020","Rt_Susanto_1Juni2020","Rt_Susanto_12Juni2020","Rt_Susanto_3Juli2020","Rt_Susanto_20Agustus2020","Rt_Susanto_1September2020","Rt_Susanto_1Oktober2020","Rt_Susanto_19Oktober2020"
"KAB. BANDUNG",3079,6325,646,4662,3242,7870,1.78,1.67,1.63,1.54,1.79,1.47,1.72,2.35,1.44
"KAB. BANDUNG BARAT",2343,3424,583,2821,2449,4512,1.5,1.45,1.4,1.15,1.43,0.99,0.98,1.38,1.27
"KAB. BEKASI",2549,5215,1102,5420,4670,9813,1.55,1.48,1.08,1.44,1.15,1.37,1.84,1.41,1.25
"KAB. BOGOR",5138,8719,1478,7726,6992,13105,1.31,1.22,1.27,1.2,1.25,1.2,1.33,1.45,1.08
"KAB. CIAMIS",1469,2811,259,1204,1203,2371,2.78,2.78,2.64,2.53,2.35,3.1,2.76,2.06,1.18
"KAB. CIANJUR",1536,2980,433,2236,1884,3457,2.87,2.76,2.21,2.09,1.96,1.9,1.99,1.82,2.09
"KAB. CIREBON",3155,4889,782,3422,3841,6652,2.57,2.29,2.37,2.28,2.23,1.46,1.57,0.92,0.83
"KAB. GARUT",1283,2610,252,1700,1201,2578,2.12,2.12,2.34,2.5,2.29,1.77,1.43,1.23,1.51
"KAB. INDRAMAYU",1443,2572,447,1951,2248,3969,2.44,2.51,2.22,2.03,1.85,2.54,2.31,1.66,1.18
"KAB. KARAWANG",1452,3422,503,3378,2416,5849,3.52,0,0,0,1.99,1.66,1.88,1.6,1.29
"KAB. KUNINGAN",1457,3075,238,1333,1285,2911,2.95,2.95,2.17,2.27,2.36,1.85,1.95,2.91,0.84
"KAB. MAJALENGKA",1365,2862,274,1446,1379,3233,3.49,3.27,2.95,2.78,3.49,1.89,2.56,1.75,1.21
"KAB. PANGANDARAN",211,704,24,218,203,663,0,3.71,3.36,2.53,2.47,3.17,3.53,0,2.78
"KAB. PURWAKARTA",1368,2108,325,1674,1714,3167,2.02,1.94,1.82,1.9,2.22,1.76,1.19,3.35,1.41
"KAB. SUBANG",1020,2329,256,1431,1297,3331,2.06,1.97,1.7,1.89,1.55,2.2,1.51,2.27,2.45
"KAB. SUKABUMI",2066,4671,483,3135,2375,5688,2.07,1.98,1.86,1.95,1.69,2.14,2.2,2.05,1.27
"KAB. SUMEDANG",1311,2749,198,1321,1058,2493,2.53,2.72,2.2,2.53,2.83,1.36,1.67,1.52,0.73
"KAB. TASIKMALAYA",883,2090,160,1001,877,2077,3.56,3.49,3.49,3.49,3.49,1.69,1.51,2.17,1.89
"KOTA BANDUNG",5414,8566,739,4567,4017,8695,1.29,1.24,1.15,0.82,1.11,1.22,1.38,0.85,1.17
"KOTA BEKASI",4049,5217,704,3611,4060,6886,1.18,1.18,1.19,1.19,1.29,1.3,1.28,0.96,0.79
"KOTA BOGOR",2074,3203,401,2363,1843,3771,1.28,1.28,1.31,1.53,1.35,1.47,1.54,1.41,1.16
"KOTA CIMAHI",1690,2109,250,1306,1272,2242,1.49,1.53,1.27,1.47,1.56,1.73,1.97,1.52,1.41
"KOTA CIREBON",750,1086,113,682,618,1183,3.66,3.47,2.35,3.19,2.79,1.8,1.88,1.04,1.59
"KOTA DEPOK",4226,4772,832,3609,4159,6283,1.24,1.21,1.01,1.01,1.06,1.32,1.37,1.22,1.25
"KOTA SUKABUMI",455,1092,104,802,446,1315,1.5,1.46,1.4,1.49,1.21,2.06,2.52,1.11,0.87
"KOTA TASIKMALAYA",678,1232,98,544,552,1160,1.94,1.98,1.85,2.36,1.92,1.97,1.84,2.35,2.42
